id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label,probabilidade_ataque,probabilidade_percentual,classificacao,nivel_risco,resultado_deteccao,timestamp_alerta,tipo_alerta,origem,modelo,threshold_modelo
133350,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,10,2,10,10,10,10,0,0,0,10,10,0,Generic,1,0.9967094438960185,99.67,ATAQUE,CRITICO,VERDADEIRO_POSITIVO,2026-09-03 13:39:43,ML_NETWORK_ATTACK,UNSW-NB15,DecisionTreeClassifier,0.099
80486,5.788526,tcp,-,FIN,36,34,6102,3892,11.920133,254,252,8199.668945,5221.36377,13,13,165.386453,172.34575,8561.040438,249.950547,255,3835852222,201002858,255,0.158826,0.057902,0.100924,170,114,0,0,4,1,2,1,1,4,0,0,0,2,4,0,Exploits,1,0.9954083306001967,99.54,ATAQUE,CRITICO,VERDADEIRO_POSITIVO,2026-09-03 13:39:43,ML_NETWORK_ATTACK,UNSW-NB15,DecisionTreeClassifier,0.099
170501,5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,34,2,25,25,12,34,0,0,0,25,34,0,Generic,1,0.9967094438960185,99.67,ATAQUE,CRITICO,VERDADEIRO_POSITIVO,2026-09-03 13:39:43,ML_NETWORK_ATTACK,UNSW-NB15,DecisionTreeClassifier,0.099
165831,8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,9,2,9,9,9,9,0,0,0,9,9,0,Generic,1,0.9967094438960185,99.67,ATAQUE,CRITICO,VERDADEIRO_POSITIVO,2026-09-03 13:39:43,ML_NETWORK_ATTACK,UNSW-NB15,DecisionTreeClassifier,0.099
55216,1.465899,tcp,-,FIN,34,16,28660,814,33.426587,254,252,151814.0,4169.455078,14,3,43.671909,91.675734,3963.321277,125.553867,255,3680557040,590273867,255,0.140336,0.090759,0.049577,843,51,0,0,6,1,1,1,1,4,0,0,0,2,4,0,Fuzzers,1,0.50567916601836,50.57,ATAQUE,MEDIO,VERDADEIRO_POSITIVO,2026-09-03 13:39:43,ML_NETWORK_ATTACK,UNSW-NB15,DecisionTreeClassifier,0.099
108232,1.008568,st2,-,INT,4,0,360,0,2.974514,254,0,2141.650146,0.0,0,0,336.189344,0.0,475.433625,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0,DoS,1,0.2358265840876608,23.58,ATAQUE,BAIXO,VERDADEIRO_POSITIVO,2026-09-03 13:39:43,ML_NETWORK_ATTACK,UNSW-NB15,DecisionTreeClassifier,0.099
117169,1e-05,unas,-,INT,2,0,200,0,100000.0025,254,0,80000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,DoS,1,0.9967094438960185,99.67,ATAQUE,CRITICO,VERDADEIRO_POSITIVO,2026-09-03 13:39:43,ML_NETWORK_ATTACK,UNSW-NB15,DecisionTreeClassifier,0.099
100043,0.935165,tcp,-,FIN,14,12,774,642,26.733251,254,252,6150.786133,5038.683105,4,3,70.344695,80.192367,4331.012656,114.148,255,2235169008,3564158083,255,0.108777,0.053047,0.05573,55,54,0,0,3,1,1,1,1,3,0,0,0,1,3,0,Normal,0,0.50567916601836,50.57,ATAQUE,MEDIO,FALSO_POSITIVO,2026-09-03 13:39:43,ML_NETWORK_ATTACK,UNSW-NB15,DecisionTreeClassifier,0.099
164616,0.628938,tcp,-,FIN,10,8,672,354,27.02969,254,252,7695.511719,3943.154785,2,1,67.662778,76.505859,3950.174903,143.374063,255,761387674,2553412688,255,0.164335,0.093388,0.070947,67,44,0,0,6,1,3,3,2,5,0,0,0,4,4,0,Fuzzers,1,0.50567916601836,50.57,ATAQUE,MEDIO,VERDADEIRO_POSITIVO,2026-09-03 13:39:43,ML_NETWORK_ATTACK,UNSW-NB15,DecisionTreeClassifier,0.099
133423,8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,17,2,17,17,17,17,0,0,0,18,17,0,Generic,1,0.9967094438960185,99.67,ATAQUE,CRITICO,VERDADEIRO_POSITIVO,2026-09-03 13:39:43,ML_NETWORK_ATTACK,UNSW-NB15,DecisionTreeClassifier,0.099
118845,0.295378,tcp,-,FIN,22,8,20964,354,98.179282,254,252,542003.8125,8396.021484,8,1,13.330667,33.771,1072.16108,63.188059,255,2914001345,3494127494,255,0.110125,0.058965,0.05116,953,44,0,0,3,1,1,1,1,1,0,0,0,18,1,0,DoS,1,0.9336340206185567,93.36,ATAQUE,CRITICO,VERDADEIRO_POSITIVO,2026-09-03 13:39:43,ML_NETWORK_ATTACK,UNSW-NB15,DecisionTreeClassifier,0.099
81343,1.281219,tcp,http,FIN,10,10,814,4216,14.829627,62,252,4576.891113,23696.18359,2,3,142.357667,133.498778,8195.23186,10703.67975,255,1363437743,3682765335,255,0.163493,0.078978,0.084515,81,422,1,1658,1,1,2,1,1,1,0,0,1,2,1,0,Exploits,1,0.9954083306001967,99.54,ATAQUE,CRITICO,VERDADEIRO_POSITIVO,2026-09-03 13:39:43,ML_NETWORK_ATTACK,UNSW-NB15,DecisionTreeClassifier,0.099
44655,0.227764,tcp,-,FIN,10,6,534,268,65.857643,254,252,16894.68164,7867.792969,2,1,22.054778,38.775398,1159.036911,54.850969,255,563087363,3134541778,255,0.080349,0.03388,0.046469,53,45,0,0,10,1,3,3,1,10,0,0,0,3,10,0,Normal,0,0.9336340206185567,93.36,ATAQUE,CRITICO,FALSO_POSITIVO,2026-09-03 13:39:43,ML_NETWORK_ATTACK,UNSW-NB15,DecisionTreeClassifier,0.099
164647,0.755426,tcp,http,FIN,10,6,862,268,19.856346,254,252,8217.879883,2372.171387,2,1,83.843,133.759203,4770.390222,236.562828,255,1931626147,3937346284,255,0.166695,0.086623,0.080072,86,45,1,0,1,1,1,1,1,1,0,0,1,17,1,0,DoS,1,0.50567916601836,50.57,ATAQUE,MEDIO,VERDADEIRO_POSITIVO,2026-09-03 13:39:43,ML_NETWORK_ATTACK,UNSW-NB15,DecisionTreeClassifier,0.099
121376,1.886326,tcp,smtp,FIN,246,52,301541,3212,157.448928,62,252,1273654.75,13363.54395,120,8,7.69929,36.621059,812.087143,44.448852,255,966415340,3247827097,255,0.063708,0.017971,0.045737,1226,62,0,0,1,1,2,1,1,2,0,0,0,2,1,0,Exploits,1,0.9336340206185567,93.36,ATAQUE,CRITICO,VERDADEIRO_POSITIVO,2026-09-03 13:39:43,ML_NETWORK_ATTACK,UNSW-NB15,DecisionTreeClassifier,0.099
71628,4e-06,udp,-,INT,2,0,1064,0,250000.0006,254,0,1064000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,13,2,5,5,1,13,0,0,0,5,13,0,Fuzzers,1,0.4062575210589651,40.63,ATAQUE,MEDIO,VERDADEIRO_POSITIVO,2026-09-03 13:39:43,ML_NETWORK_ATTACK,UNSW-NB15,DecisionTreeClassifier,0.099
169753,7e-06,irtp,-,INT,2,0,200,0,142857.1409,254,0,114285712.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,1,1,1,3,0,0,0,2,3,0,Exploits,1,0.9967094438960185,99.67,ATAQUE,CRITICO,VERDADEIRO_POSITIVO,2026-09-03 13:39:43,ML_NETWORK_ATTACK,UNSW-NB15,DecisionTreeClassifier,0.099
