attack_cat,label,probabilidade_percentual,classificacao,nivel_risco,resultado_deteccao
Generic,1,99.67,ATAQUE,CRITICO,VERDADEIRO_POSITIVO
Exploits,1,99.54,ATAQUE,CRITICO,VERDADEIRO_POSITIVO
Generic,1,99.67,ATAQUE,CRITICO,VERDADEIRO_POSITIVO
Generic,1,99.67,ATAQUE,CRITICO,VERDADEIRO_POSITIVO
Fuzzers,1,50.57,ATAQUE,MEDIO,VERDADEIRO_POSITIVO
DoS,1,23.58,ATAQUE,BAIXO,VERDADEIRO_POSITIVO
DoS,1,99.67,ATAQUE,CRITICO,VERDADEIRO_POSITIVO
Normal,0,50.57,ATAQUE,MEDIO,FALSO_POSITIVO
Fuzzers,1,50.57,ATAQUE,MEDIO,VERDADEIRO_POSITIVO
Generic,1,99.67,ATAQUE,CRITICO,VERDADEIRO_POSITIVO
DoS,1,93.36,ATAQUE,CRITICO,VERDADEIRO_POSITIVO
Exploits,1,99.54,ATAQUE,CRITICO,VERDADEIRO_POSITIVO
Normal,0,93.36,ATAQUE,CRITICO,FALSO_POSITIVO
DoS,1,50.57,ATAQUE,MEDIO,VERDADEIRO_POSITIVO
Exploits,1,93.36,ATAQUE,CRITICO,VERDADEIRO_POSITIVO
Fuzzers,1,40.63,ATAQUE,MEDIO,VERDADEIRO_POSITIVO
Exploits,1,99.67,ATAQUE,CRITICO,VERDADEIRO_POSITIVO
Exploits,1,99.54,ATAQUE,CRITICO,VERDADEIRO_POSITIVO
Fuzzers,1,50.57,ATAQUE,MEDIO,VERDADEIRO_POSITIVO
Generic,1,99.67,ATAQUE,CRITICO,VERDADEIRO_POSITIVO
DoS,1,99.67,ATAQUE,CRITICO,VERDADEIRO_POSITIVO
Generic,1,99.67,ATAQUE,CRITICO,VERDADEIRO_POSITIVO
Exploits,1,93.36,ATAQUE,CRITICO,VERDADEIRO_POSITIVO
Exploits,1,99.67,ATAQUE,CRITICO,VERDADEIRO_POSITIVO
Generic,1,99.67,ATAQUE,CRITICO,VERDADEIRO_POSITIVO
Normal,0,20.56,ATAQUE,BAIXO,FALSO_POSITIVO
Fuzzers,1,50.57,ATAQUE,MEDIO,VERDADEIRO_POSITIVO
Generic,1,93.36,ATAQUE,CRITICO,VERDADEIRO_POSITIVO
Fuzzers,1,50.57,ATAQUE,MEDIO,VERDADEIRO_POSITIVO
Exploits,1,99.67,ATAQUE,CRITICO,VERDADEIRO_POSITIVO
Exploits,1,23.58,ATAQUE,BAIXO,VERDADEIRO_POSITIVO
Normal,0,50.57,ATAQUE,MEDIO,FALSO_POSITIVO
Exploits,1,50.57,ATAQUE,MEDIO,VERDADEIRO_POSITIVO
Reconnaissance,1,99.67,ATAQUE,CRITICO,VERDADEIRO_POSITIVO
Normal,0,40.63,ATAQUE,MEDIO,FALSO_POSITIVO
Fuzzers,1,50.57,ATAQUE,MEDIO,VERDADEIRO_POSITIVO
Generic,1,99.67,ATAQUE,CRITICO,VERDADEIRO_POSITIVO
